Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000038225	204	152	66	95	131	122	133	61	89	48	55
ENSGALG00000049217	2	4	0	2	3	0	5	1	2	4	2
ENSGALG00000037435	10	2	0	2	2	0	13	1	0	4	0
ENSGALG00000039659	73	135	24	293	56	25	141	82	16	94	73
ENSGALG00000039355	5	26	14	13	24	20	14	16	20	15	20
ENSGALG00000008486	1016	1000	450	1428	1064	1182	1289	808	826	536	592
ENSGALG00000048859	21	34	21	39	28	14	9	23	0	19	9
ENSGALG00000033974	1	0	13	3	4	1	6	0	48	24	1
ENSGALG00000050082	0	1	1	0	2	3	0	0	1	0	0
ENSGALG00000055032	4	2	0	0	1	0	0	0	0	0	0
ENSGALG00000052917	6	4	4	4	3	1	3	4	2	5	5
ENSGALG00000042096	0	0	0	0	0	0	0	1	0	0	0
ENSGALG00000052297	0	5	23	8	25	0	22	0	15	22	21
ENSGALG00000053789	0	1	0	0	3	3	0	0	4	0	0
ENSGALG00000040444	47	42	18	1	71	45	66	15	251	85	72
ENSGALG00000008439	0	10	0	0	0	0	19	11	44	42	10
ENSGALG00000008427	0	8	0	0	0	0	1	0	7	4	3
ENSGALG00000052110	4	8	39	10	2	0	2	0	3	0	14
ENSGALG00000008382	2004	2063	2102	2181	3513	2799	2446	2001	1581	1639	1646
ENSGALG00000038834	161	220	120	221	250	175	235	239	22	46	24
ENSGALG00000041737	21	9	0	23	0	0	2	0	0	0	0
ENSGALG00000008335	861	888	806	1098	990	578	908	762	351	576	540
ENSGALG00000008330	220	177	504	474	200	285	470	570	207	694	533
ENSGALG00000008328	342	336	288	283	371	257	507	409	233	357	304
ENSGALG00000038546	0	10	14	12	3	5	15	17	3	46	46
ENSGALG00000051957	1433	1425	1047	1494	1390	874	1536	1672	578	759	1690
ENSGALG00000055027	6	0	24	0	0	6	19	6	6	12	22
ENSGALG00000008312	290	406	240	342	374	330	293	292	245	114	162
ENSGALG00000046379	9	27	74	57	37	18	51	11	1	25	24
ENSGALG00000050444	3	11	1	10	6	0	15	14	4	9	15
ENSGALG00000008309	14	31	18	37	35	8	18	19	1	10	42
ENSGALG00000008306	24	34	0	24	0	2	34	0	33	10	37
ENSGALG00000008301	37	26	35	37	24	2	22	37	35	35	57
ENSGALG00000045817	24	30	1	68	40	2	14	16	18	8	15
ENSGALG00000008298	1	11	0	1	0	5	2	0	0	0	0
ENSGALG00000053565	3	10	1	11	17	12	8	11	0	0	3
ENSGALG00000008288	93	17	39	69	8	18	60	65	27	64	13
ENSGALG00000008285	108	115	185	136	241	117	189	394	160	198	277
ENSGALG00000008280	2227	2668	3826	3379	3413	3425	3638	4018	3273	2138	2329
ENSGALG00000008249	1701	1395	1583	1674	1799	1340	1442	1687	1101	2778	1965
ENSGALG00000008236	6215	7180	8731	8094	9202	8312	7507	10264	8392	7957	9767
ENSGALG00000008222	177	237	175	223	276	227	168	268	194	130	229
ENSGALG00000008193	166	175	208	276	193	284	135	98	404	357	708
ENSGALG00000047635	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000049743	0	4	2	0	5	0	0	6	0	1	2
ENSGALG00000008175	2501	2647	2771	3183	3622	2979	3529	3429	2073	1488	2106
ENSGALG00000051514	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000043367	25	15	1	0	23	15	27	14	11	8	6
ENSGALG00000047191	3	0	0	0	1	0	0	0	0	0	0
ENSGALG00000034533	300	305	153	345	288	222	277	109	171	223	251
ENSGALG00000054277	38	57	118	107	27	74	73	96	47	141	115
ENSGALG00000008167	2783	3074	1965	3247	4016	2997	3638	2380	3135	3903	2666
ENSGALG00000008154	751	749	477	1036	855	577	632	669	595	975	817
