,Date,Embryo,Treatment,FOV,ROI,Area,Mean,IntDen,CTCF
136,20210804,Emb1,GW4869;25uM,FOV3,0004-0644-2160,472.599,361.42800000000005,170810.593,82433.162203
137,20210804,Emb1,GW4869;25uM,FOV3,0004-0930-2390,567.919,266.356,151268.835,45066.27824300001
138,20210804,Emb1,GW4869;25uM,FOV3,0004-1056-2846,616.339,210.505,129742.34300000001,14485.100983000011
139,20210804,Emb1,GW4869;25uM,FOV3,0004-0796-3024,478.32300000000004,248.172,118706.513,29258.677031
140,20210804,Emb1,GW4869;25uM,FOV3,0004-1522-2972,461.654,214.752,99140.93800000001,12810.255038000018
141,20210804,Emb1,GW4869;25uM,FOV3,0004-1314-2742,511.30800000000005,230.68200000000002,117949.55300000001,22333.423076000006
142,20210804,Emb1,GW4869;25uM,FOV3,0004-0546-1734,466.7,232.68900000000002,108596.005,21321.70490000001
143,20210804,Emb1,GW4869;25uM,FOV3,0004-0682-1564,399.441,275.093,109883.64,35186.974677000006
144,20210804,Emb1,GW4869;25uM,FOV3,0004-0936-1384,662.602,218.04,144473.969,20565.40719400003
145,20210804,Emb1,GW4869;25uM,FOV3,0004-1142-1666,449.69199999999995,237.345,106732.069,22638.315924000024
146,20210804,Emb1,GW4869;25uM,FOV3,0004-1302-1364,516.014,223.31099999999998,115231.439,18735.272958
147,20210804,Emb1,GW4869;25uM,FOV3,0004-2366-1664,393.907,279.351,110038.27699999999,36376.48627899999
148,20210804,Emb1,GW4869;25uM,FOV3,0004-2808-1832,393.039,214.294,84225.799,10726.326883000002
149,20210804,Emb1,GW4869;25uM,FOV3,0004-2830-2106,502.57300000000004,201.178,101106.671,7124.012281000003
150,20210804,Emb1,GW4869;25uM,FOV3,0004-2828-2390,397.407,219.445,87208.837,12892.535779000013
151,20210804,Emb1,GW4869;25uM,FOV3,0004-2380-2184,641.9730000000001,233.71400000000003,150038.381,29987.504080999992
152,20210804,Emb1,GW4869;25uM,FOV3,0004-2462-2020,322.472,226.861,73156.231,12852.999584000005
153,20210804,Emb1,GW4869;25uM,FOV3,0004-2538-1866,287.384,236.101,67851.86,14110.189848000002
154,20210804,Emb1,GW4869;25uM,FOV3,0004-2220-1988,425.767,232.468,98977.214,19357.50769900001
155,20210804,Emb1,GW4869;25uM,FOV3,0004-2020-2134,437.539,229.19099999999997,100279.883,18458.777383000008
156,20210804,Emb1,GW4869;25uM,FOV3,0004-1718-2618,459.32099999999997,220.335,101204.765,15310.360037000006
157,20210804,Emb1,GW4869;25uM,FOV3,0004-2040-0870,745.404,235.463,175514.643,36121.85878800001
158,20210804,Emb1,GW4869;25uM,FOV3,0004-3200-1798,335.329,220.40900000000002,73909.704,11202.175013
159,20210804,Emb1,GW4869;25uM,FOV3,0004-2962-1580,441.527,254.412,112329.771,29762.897419
160,20210804,Emb1,GW4869;25uM,FOV3,0004-2542-1394,345.651,318.828,110203.189,45565.415047
161,20210804,Emb1,GW4869;25uM,FOV3,0004-1708-1640,358.413,223.11,79965.75099999999,12941.444760999992
162,20210804,Emb1,GW4869;25uM,FOV3,0004-2400-0496,476.668,206.359,98364.55699999999,9226.210995999994
163,20210804,Emb1,GW4869;25uM,FOV3,0004-2830-0880,400.404,220.14700000000002,88147.763,13271.013788000011
164,20210804,Emb1,GW4869;25uM,FOV3,0004-3254-3362,904.4019999999999,215.567,194959.277,25833.389794000017
165,20210804,Emb1,GW4869;25uM,FOV3,0004-2360-3282,744.8610000000001,223.33599999999998,166354.366,27063.124417000014
166,20210804,Emb1,GW4869;25uM,FOV3,0004-2154-3170,407.606,291.091,118650.41,42426.86518200001
167,20210804,Emb1,GW4869;25uM,FOV3,0004-3404-2558,327.815,219.293,71887.63799999999,10585.249554999995
168,20210804,Emb1,GW4869;25uM,FOV3,0004-2708-2716,510.657,225.595,115201.58,19707.189029000016
169,20210804,Emb1,GW4869;25uM,FOV3,0004-2664-2468,444.673,215.833,95975.261,12820.075981000002
170,20210804,Emb4,DMSO;1percent,FOV2,0002-3050-3111,581.482,309.462,179946.674,70399.53557400001
171,20210804,Emb4,DMSO;1percent,FOV2,0002-2693-3311,692.5219999999999,325.653,225522.122,95055.82485400002
172,20210804,Emb4,DMSO;1percent,FOV2,0002-3420-3395,360.86800000000005,290.87,104965.88,36980.874876
173,20210804,Emb4,DMSO;1percent,FOV2,0002-2787-2913,488.18300000000005,612.764,299141.30199999997,207171.04208099996
174,20210804,Emb4,DMSO;1percent,FOV2,0002-0936-2744,541.607,483.102,261651.86800000002,159616.900449
175,20210804,Emb4,DMSO;1percent,FOV2,0002-1440-3147,493.33,435.527,214858.831,121918.91231000001
176,20210804,Emb4,DMSO;1percent,FOV2,0002-0605-2678,308.726,440.051,135854.94,77693.122682
177,20210804,Emb4,DMSO;1percent,FOV2,0002-0764-2862,217.766,505.469,110073.88,69048.28996200001
178,20210804,Emb4,DMSO;1percent,FOV2,0002-0426-2373,383.55199999999996,484.976,186013.55800000002,113755.04606400002
179,20210804,Emb4,DMSO;1percent,FOV2,0002-0600-2184,374.967,376.765,141274.46,70633.301969
180,20210804,Emb4,DMSO;1percent,FOV2,0002-0423-2132,331.87699999999995,327.865,108811.031,46287.72733900001
181,20210804,Emb4,DMSO;1percent,FOV2,0002-0254-2033,450.05800000000005,345.689,155580.232,70792.45520599998
182,20210804,Emb4,DMSO;1percent,FOV2,0002-0558-1781,458.399,543.365,249078.14,162718.97719300003
183,20210804,Emb4,DMSO;1percent,FOV2,0002-0778-2132,442.001,532.274,235265.997,151996.102607
184,20210804,Emb4,DMSO;1percent,FOV2,0002-2104-1779,541.8919999999999,334.455,181238.41199999998,79149.752444
185,20210804,Emb4,DMSO;1percent,FOV2,0002-2221-1904,288.402,407.215,117441.44,63108.522014
186,20210804,Emb4,DMSO;1percent,FOV2,0002-2167-1485,292.47,503.376,147222.499,92123.19829
187,20210804,Emb4,DMSO;1percent,FOV2,0002-1951-1529,367.785,435.17400000000004,160050.50400000002,90762.384495
188,20210804,Emb4,DMSO;1percent,FOV2,0002-3046-1700,408.16900000000004,571.53,233280.829,156384.646583
189,20210804,Emb4,DMSO;1percent,FOV2,0002-2876-2234,554.567,350.337,194285.2,89808.659169
190,20210804,Emb4,DMSO;1percent,FOV2,0002-2744-2574,294.607,666.466,196345.18899999998,140843.29244899997
191,20210804,Emb4,DMSO;1percent,FOV2,0002-3197-1889,418.13800000000003,409.835,171367.615,92593.34276599999
192,20210804,Emb4,DMSO;1percent,FOV2,0002-3419-1706,299.48900000000003,402.319,120490.23800000001,64068.60682300001
193,20210804,Emb4,DMSO;1percent,FOV2,0002-1790-2502,476.36300000000006,425.309,202601.451,112857.99634099999
194,20210804,Emb4,DMSO;1percent,FOV2,0002-2006-3318,401.659,427.64099999999996,171765.80800000002,96096.06401300002
195,20210804,Emb4,DMSO;1percent,FOV2,0002-1033-2450,385.32199999999995,541.122,208506.258,135914.290454
196,20210804,Emb4,DMSO;1percent,FOV1,0002-1699-2965,340.57099999999997,500.019,170291.995,80474.226883
197,20210804,Emb4,DMSO;1percent,FOV1,0002-1697-2792,274.127,707.7589999999999,194015.475,121720.783671
198,20210804,Emb4,DMSO;1percent,FOV1,0002-1493-2892,255.09099999999998,757.0989999999999,193129.322,125854.93784299998
199,20210804,Emb4,DMSO;1percent,FOV1,0002-1275-2997,458.853,537.085,246443.268,125431.342869
200,20210804,Emb4,DMSO;1percent,FOV1,0002-1623-3237,595.6759999999999,696.823,415080.67100000003,257984.82654800004
201,20210804,Emb4,DMSO;1percent,FOV1,0002-2011-2952,421.528,565.977,238575.285,127406.97014399999
202,20210804,Emb4,DMSO;1percent,FOV1,0002-1691-3452,512.339,475.517,243625.961,108508.33354699999
203,20210804,Emb4,DMSO;1percent,FOV1,0002-2062-3316,342.32800000000003,538.362,184296.14800000002,94015.011544
204,20210804,Emb4,DMSO;1percent,FOV1,0002-2213-2696,443.94800000000004,327.80300000000005,145527.414,28446.33980399996
205,20210804,Emb4,DMSO;1percent,FOV1,0002-2509-2832,346.356,525.961,182169.77,90826.34118799998
206,20210804,Emb4,DMSO;1percent,FOV1,0002-2682-2287,330.94800000000004,562.899,186290.37699999998,99010.45380399996
207,20210804,Emb4,DMSO;1percent,FOV1,0002-3227-2460,405.334,587.74,238231.282,131333.76218199998
208,20210804,Emb4,DMSO;1percent,FOV1,0002-3268-2714,297.916,521.923,155489.06900000002,76920.57606800001
209,20210804,Emb4,DMSO;1percent,FOV1,0002-3268-3175,306.95599999999996,519.288,159398.291,78445.705988
210,20210804,Emb4,DMSO;1percent,FOV1,0002-3081-3292,272.072,556.55,151421.676,79668.943656
211,20210804,Emb4,DMSO;1percent,FOV1,0002-1855-1833,419.535,582.323,244304.785,133662.078055
212,20210804,Emb4,DMSO;1percent,FOV1,0002-2156-1707,481.592,782.6210000000001,376903.774,249894.96061599997
213,20210804,Emb4,DMSO;1percent,FOV1,0002-2182-1958,338.856,648.3340000000001,219691.728,130326.25168799999
214,20210804,Emb4,DMSO;1percent,FOV1,0002-2433-1363,388.272,704.127,273393.017,170995.20725599997
215,20210804,Emb4,DMSO;1percent,FOV1,0002-2328-1053,525.04,675.586,354709.76200000005,216242.53792000003
216,20210804,Emb4,DMSO;1percent,FOV1,0002-2948-1586,348.485,657.015,228959.93899999998,137055.03540499997
217,20210804,Emb4,DMSO;1percent,FOV1,0002-2836-1630,282.149,618.335,174462.724,100052.41467699998
218,20210804,Emb4,DMSO;1percent,FOV1,0002-3305-1769,275.686,589.808,162602.161,89896.319278
219,20210804,Emb4,DMSO;1percent,FOV1,0002-3206-1640,399.57,776.054,310087.787,204710.38961
220,20210804,Emb4,DMSO;1percent,FOV1,0002-0646-1416,582.825,693.7230000000001,404319.279,250612.59022499996
221,20210804,Emb4,DMSO;1percent,FOV1,0003-1351-1722,496.504,579.594,287770.787,156829.27659199998
222,20210804,Emb4,DMSO;1percent,FOV1,0003-1549-1419,466.089,761.2810000000001,354824.742,231904.488297
223,20210804,Emb4,DMSO;1percent,FOV1,0003-0684-1117,440.204,529.077,232901.90899999999,116808.22869199998
224,20210804,Emb4,DMSO;1percent,FOV1,0003-0185-1041,420.93199999999996,612.388,257773.42,146762.28643600002
225,20210804,Emb4,DMSO;1percent,FOV1,0003-0236-0701,314.219,531.073,166873.16,84005.125787
226,20210804,Emb4,DMSO;1percent,FOV1,0003-0975-0856,329.395,521.346,171728.992,84858.636835
227,20210804,Emb4,DMSO;1percent,FOV1,0003-1374-0178,235.201,790.174,185849.772,123820.917873
228,20210804,Emb4,DMSO;1percent,FOV1,0003-1621-0675,227.104,697.528,158411.386,98517.92939199999
229,20210804,Emb4,DMSO;1percent,FOV1,0003-2299-0717,419.833,758.4810000000001,318435.32,207714.02240899997
230,20210804,Emb4,DMSO;1percent,FOV1,0003-1803-0870,364.57099999999997,723.38,263723.093,167575.876883
231,20210804,Emb4,DMSO;1percent,FOV1,0003-1647-1069,300.384,658.5010000000001,197803.533,118584.16183199998
232,20210804,Emb4,DMSO;1percent,FOV1,0003-2016-1393,387.031,578.678,223966.31399999998,121895.78946299996
233,20210804,Emb4,DMSO;1percent,FOV1,0003-1438-0432,472.009,734.451,346667.815,222186.29745699998
234,20210804,Emb4,DMSO;1percent,FOV1,0003-2438-0342,458.86699999999996,636.863,292235.478,171219.860691
235,20210804,Emb4,DMSO;1percent,FOV1,0003-0991-2574,462.075,552.328,255216.928,133355.27447499998
236,20210804,Emb4,DMSO;1percent,FOV1,0003-1300-2457,354.18199999999996,546.797,193665.49800000002,100258.14168600002
237,20210804,Emb2,DMSO;1percent,FOV3,0004-1759-1945,349.719,627.257,219363.967,141746.632702
238,20210804,Emb2,DMSO;1percent,FOV3,0004-1927-2006,665.674,627.381,417631.066,269890.047092
239,20210804,Emb2,DMSO;1percent,FOV3,0004-2005-2300,418.056,490.155,204912.285,112128.100248
240,20210804,Emb2,DMSO;1percent,FOV3,0004-2237-2363,567.865,597.81,339475.62299999996,213442.52916999994
241,20210804,Emb2,DMSO;1percent,FOV3,0004-2882-2377,418.144,642.102,268491.404,175687.68835199997
242,20210804,Emb2,DMSO;1percent,FOV3,0004-3420-2225,289.887,558.248,161828.655,97490.554446
243,20210804,Emb2,DMSO;1percent,FOV3,0004-2890-1689,391.425,450.898,176492.955,89619.30764999999
244,20210804,Emb2,DMSO;1percent,FOV3,0004-2719-1835,466.564,288.653,134675.049,31124.90171199999
245,20210804,Emb2,DMSO;1percent,FOV3,0004-2741-2097,331.67400000000004,697.32,231282.871,157670.48009199998
246,20210804,Emb2,DMSO;1percent,FOV3,0004-2103-1624,498.064,509.38699999999994,253707.255,143165.93471200002
247,20210804,Emb2,DMSO;1percent,FOV3,0004-2517-1598,417.046,649.5840000000001,270906.157,178346.133668
248,20210804,Emb2,DMSO;1percent,FOV3,0004-1860-1100,545.758,427.599,233365.272,112238.64996399998
249,20210804,Emb2,DMSO;1percent,FOV3,0004-1761-1304,323.441,627.7330000000001,203034.705,131249.562578
250,20210804,Emb2,DMSO;1percent,FOV3,0004-1236-0787,546.592,457.85400000000004,250259.157,128947.43533600001
251,20210804,Emb2,DMSO;1percent,FOV3,0004-1342-1387,412.875,445.298,183852.635,92218.33175000001
252,20210804,Emb2,DMSO;1percent,FOV3,0004-0773-2415,640.9630000000001,523.117,335298.24199999997,193041.63185399995
253,20210804,Emb2,DMSO;1percent,FOV3,0004-1067-2737,406.30400000000003,426.48800000000006,173283.81600000002,83107.893632
254,20210804,Emb2,DMSO;1percent,FOV3,0004-1114-2556,395.833,660.32,261376.77899999998,173524.811314
255,20210804,Emb2,DMSO;1percent,FOV3,0004-1262-2344,245.84099999999998,658.883,161980.58,107418.13677799999
256,20210804,Emb2,DMSO;1percent,FOV3,0004-1456-2848,545.697,594.144,324222.157,203109.07342600002
257,20210804,Emb2,DMSO;1percent,FOV3,0004-1962-3168,355.85699999999997,557.345,198335.009,119355.39470599999
258,20210804,Emb2,DMSO;1percent,FOV3,0004-1514-3175,350.94699999999995,436.279,153110.603,75220.723926
259,20210804,Emb1,GW4869;25uM,FOV4,0002-1008-0811,777.846,201.924,157065.56,17813.23554200001
260,20210804,Emb1,GW4869;25uM,FOV4,0002-1282-1084,334.665,231.25799999999998,77393.913,17481.180705
261,20210804,Emb1,GW4869;25uM,FOV4,0002-1278-0723,625.508,253.511,158573.239,46592.920316
262,20210804,Emb1,GW4869;25uM,FOV4,0002-1283-0450,778.8839999999999,223.25599999999997,173890.16600000003,34452.01566800004
263,20210804,Emb1,GW4869;25uM,FOV4,0002-1625-0550,636.738,218.65099999999998,139223.301,25232.554025999998
264,20210804,Emb1,GW4869;25uM,FOV4,0002-1628-0369,462.99699999999996,260.29200000000003,120514.4,37627.288069
265,20210804,Emb1,GW4869;25uM,FOV4,0002-1875-0321,509.626,192.4,98051.918,6817.142602000007
266,20210804,Emb1,GW4869;25uM,FOV4,0002-2091-0814,448.24699999999996,224.812,100771.274,20524.751319000017
267,20210804,Emb1,GW4869;25uM,FOV4,0002-0653-2173,394.084,248.19099999999997,97807.996,27257.896068000002
268,20210804,Emb1,GW4869;25uM,FOV4,0002-0894-2431,448.546,213.68,95845.024,15544.973442000002
269,20210804,Emb1,GW4869;25uM,FOV4,0002-0925-2240,369.745,252.52200000000002,93368.763,27175.903865
270,20210804,Emb1,GW4869;25uM,FOV4,0002-0959-2907,330.06699999999995,218.798,72217.915,13128.330459000004
271,20210804,Emb1,GW4869;25uM,FOV4,0002-0949-2605,447.42,198.452,88791.405,8692.934339999993
272,20210804,Emb1,GW4869;25uM,FOV4,0002-0956-2796,290.531,215.118,62498.412000000004,10486.680787000005
273,20210804,Emb1,GW4869;25uM,FOV4,0002-0751-2900,438.787,351.985,154446.603,75893.63789900001
274,20210804,Emb1,GW4869;25uM,FOV4,0002-1262-2486,487.18,207.555,101116.728,13900.30286000001
275,20210804,Emb1,GW4869;25uM,FOV4,0002-1523-2489,544.184,240.498,130875.049,33453.596768
276,20210804,Emb1,GW4869;25uM,FOV4,0002-1640-3068,540.109,208.947,112853.88900000001,16161.955493000001
277,20210804,Emb1,GW4869;25uM,FOV4,0002-1959-2993,498.349,225.97799999999998,112615.955,23400.02197300001
278,20210804,Emb1,GW4869;25uM,FOV4,0002-1858-3217,363.615,212.80700000000002,77379.923,12284.474854999993
279,20210804,Emb1,GW4869;25uM,FOV4,0002-1841-2733,399.577,212.84599999999998,85048.30699999999,13514.83372899999
280,20210804,Emb1,GW4869;25uM,FOV4,0002-1563-2689,388.57,221.554,86089.20599999999,16526.238889999993
281,20210804,Emb1,GW4869;25uM,FOV4,0002-2501-1898,537.159,202.75,108909.2,12745.384342999998
282,20210804,Emb1,GW4869;25uM,FOV4,0002-2474-1566,546.714,208.903,114209.915,16335.534577999992
283,20210804,Emb1,GW4869;25uM,FOV4,0002-2596-1308,471.67,208.96599999999998,98562.88699999999,14123.108589999989
284,20210804,Emb1,GW4869;25uM,FOV4,0002-2026-1566,554.899,205.36700000000002,113957.692,14618.008323000002
285,20210804,Emb1,GW4869;25uM,FOV4,0002-1970-1987,497.833,214.169,106620.609,17497.051840999993
286,20210804,Emb4,GW4869;25uM,FOV1,0002-2554-1144,379.23900000000003,241.046,91414.097,17650.973782999994
287,20210804,Emb4,GW4869;25uM,FOV1,0002-2775-1173,278.087,247.63099999999997,68863.09,14774.334239000003
288,20210804,Emb4,GW4869;25uM,FOV1,0002-2649-1528,539.39,230.937,124565.043,19652.069830000022
289,20210804,Emb4,GW4869;25uM,FOV1,0002-2198-0463,441.31,225.915,99698.414,13862.295070000007
290,20210804,Emb4,GW4869;25uM,FOV1,0002-2411-0647,390.815,274.845,107413.632,31398.942055000007
291,20210804,Emb4,GW4869;25uM,FOV1,0002-2609-0767,320.769,253.377,81275.725,18885.19219300001
292,20210804,Emb4,GW4869;25uM,FOV1,0002-2709-0578,410.42699999999996,256.703,105357.665,25528.382219000006
293,20210804,Emb4,GW4869;25uM,FOV1,0002-0979-1232,378.405,253.84599999999998,96056.74699999999,22455.839284999995
294,20210804,Emb4,GW4869;25uM,FOV1,0002-1050-1087,359.93199999999996,270.889,97501.82,27493.966204000026
295,20210804,Emb4,GW4869;25uM,FOV1,0002-0456-1637,481.99800000000005,201.513,97128.94900000001,3378.892006000009
296,20210804,Emb4,GW4869;25uM,FOV1,0002-1039-1712,489.973,217.56099999999998,106599.315,11298.096581000005
